Crop,Season,State,Soil_Type,Area_ha,Nitrogen,Phosphorus,Potassium,pH,Temperature,Humidity,Rainfall,Fertilizer,Pesticide,Irrigation,Yield_ton_per_ha
Chickpea,Rabi,Madhya Pradesh,Sandy,469.53,38.1,43.7,24.7,6.12,29.5,64.9,1302.1,101.6,15.36,1,0.828
Groundnut,Kharif,Gujarat,Loamy,466.67,25.1,36.6,35.9,5.8,29.4,59.0,886.4,167.8,6.14,0,0.929
Rice,Rabi,Andhra Pradesh,Loamy,496.81,112.5,43.5,24.2,7.19,33.3,82.2,1109.1,165.5,1.49,1,2.758
Groundnut,Kharif,Madhya Pradesh,Red,82.0,24.1,55.9,43.5,5.09,23.4,59.9,1097.1,70.8,3.22,1,0.951
Maize,Rabi,Karnataka,Loamy,68.0,134.6,58.2,36.5,6.93,30.8,44.2,806.8,67.2,10.34,1,3.029
Jute,Kharif,Bihar,Sandy Loam,1.0,57.6,26.9,20.2,6.77,30.9,72.7,1452.7,122.4,3.57,1,1.36
Potato,Whole Year,Madhya Pradesh,Alluvial,102.0,191.0,67.4,139.7,6.15,24.3,74.2,1360.8,32.3,21.33,1,10.676
Potato,Whole Year,Haryana,Loamy,311.0,114.3,54.1,121.7,6.79,25.1,53.6,659.9,186.3,24.35,1,25.563
Groundnut,Kharif,Maharashtra,Sandy Loam,469.23,17.4,68.6,46.9,5.59,26.6,64.3,1626.3,305.9,15.03,1,0.951
Rice,Zaid,Odisha,Alluvial,333.33,60.8,26.8,34.7,5.47,28.5,84.7,1701.7,207.9,10.11,0,3.0
Rice,Zaid,Karnataka,Alluvial,490.97,93.4,53.7,43.3,7.02,26.8,86.3,831.3,126.8,3.73,1,4.393
Wheat,Rabi,Rajasthan,Loamy,499.02,74.6,57.0,45.9,5.7,27.7,53.2,247.8,208.9,1.02,1,3.214
Coffee,Whole Year,Punjab,Laterite,6.88,106.2,27.4,100.1,6.78,25.4,65.0,445.9,103.9,3.7,1,1.69
Groundnut,Kharif,Bihar,Red,86.0,14.6,60.1,29.8,6.65,29.4,78.6,1484.5,306.8,14.04,1,0.488
Rice,Kharif,Maharashtra,Loamy,497.99,93.8,22.6,22.8,6.78,29.9,62.0,715.2,82.9,17.38,0,3.137
Chickpea,Rabi,Uttar Pradesh,Black,406.6,24.1,32.2,40.2,7.75,30.4,34.3,1031.4,88.6,19.01,0,1.538
Soybean,Kharif,Uttar Pradesh,Red,51.0,31.3,34.7,39.8,6.09,25.9,76.7,926.5,134.3,9.27,0,1.059
Groundnut,Kharif,Chhattisgarh,Sandy Loam,466.67,13.0,57.8,43.2,6.48,23.9,67.1,850.5,314.9,18.68,0,1.259
Rice,Rabi,Assam,Alluvial,497.82,146.7,32.1,33.5,6.78,28.3,97.7,2017.6,177.4,14.96,0,1.07
Rice,Rabi,Jharkhand,Alluvial,499.37,100.0,73.9,64.6,6.73,29.1,61.6,1290.1,269.1,23.57,1,1.485
Maize,Whole Year,Tamil Nadu,Alluvial,152.0,89.3,44.0,29.6,5.68,23.0,62.1,1144.5,65.5,17.12,1,3.408
Cotton,Kharif,Andhra Pradesh,Red,348.5,64.1,34.8,23.8,7.41,24.9,59.2,1176.4,201.2,9.49,0,0.546
Sugarcane,Whole Year,Bihar,Black,374.33,335.8,104.8,92.5,6.75,26.5,94.8,1589.8,105.3,16.75,0,28.903
Wheat,Rabi,Uttar Pradesh,Black,499.66,95.9,33.6,37.6,7.74,26.5,53.7,1190.4,141.5,8.14,0,3.178
Groundnut,Kharif,Andhra Pradesh,Sandy Loam,499.9,22.2,38.4,30.2,7.43,26.6,59.4,949.0,328.5,14.85,1,0.798
Jute,Kharif,Andhra Pradesh,Alluvial,52.0,75.5,24.6,13.3,6.22,23.6,86.8,730.7,250.6,17.74,1,1.52
Maize,Kharif,Uttar Pradesh,Sandy Loam,498.2,135.7,31.2,43.3,6.33,28.0,55.0,1180.4,88.6,12.06,1,1.063
Groundnut,Kharif,Rajasthan,Sandy Loam,477.83,14.3,31.7,36.9,7.27,29.2,66.3,478.9,261.5,16.66,1,0.865
Maize,Kharif,Jharkhand,Alluvial,481.24,68.1,40.4,52.6,5.82,26.4,57.7,1444.2,187.6,3.07,0,2.178
Groundnut,Kharif,Uttar Pradesh,Loamy,296.0,29.0,43.7,34.1,6.25,27.3,44.4,919.0,73.1,1.42,0,1.132
Chickpea,Rabi,Karnataka,Red,63.0,27.6,64.8,23.6,7.57,25.0,61.2,1557.0,45.9,13.11,1,0.651
Chickpea,Rabi,Haryana,Loamy,440.33,31.6,57.6,24.3,6.2,23.4,36.4,597.0,237.7,1.75,1,0.757
Rice,Rabi,Odisha,Alluvial,497.61,114.3,37.4,31.6,6.04,31.5,72.2,1163.7,52.6,7.45,1,1.596
Rice,Kharif,Madhya Pradesh,Alluvial,491.96,86.5,37.6,20.6,6.47,26.5,66.3,1217.8,253.1,0.56,1,0.655
Rice,Rabi,Odisha,Loamy,495.24,75.4,26.0,32.0,7.37,26.8,67.1,2087.7,204.7,20.4,0,1.288
Coffee,Whole Year,Odisha,Loamy,9.43,80.3,38.8,92.3,6.88,28.2,80.7,1754.8,256.3,7.75,1,1.584
Sugarcane,Whole Year,Karnataka,Alluvial,95.0,164.2,90.9,112.0,6.81,26.8,55.6,881.4,121.1,9.47,1,83.6
Rice,Zaid,Karnataka,Black,65.0,107.1,15.6,56.8,5.71,24.2,80.6,1332.2,311.8,11.34,1,3.4
Chickpea,Rabi,Karnataka,Black,52.0,37.5,49.4,28.1,7.6,29.3,30.6,1778.2,195.5,21.59,0,0.692
Rice,Rabi,Assam,Clay,498.43,114.7,47.6,35.3,5.34,28.5,88.8,2168.2,103.4,15.21,1,1.884
Barley,Rabi,West Bengal,Alluvial,167.0,68.4,29.7,16.4,7.77,23.4,43.2,769.5,88.2,10.57,0,1.958
Maize,Zaid,Odisha,Alluvial,7.0,115.6,34.7,32.3,6.52,23.2,77.9,908.7,47.6,13.89,1,1.671
Barley,Rabi,Bihar,Sandy Loam,415.0,71.7,34.9,44.2,6.12,26.7,33.4,1194.1,30.9,11.68,1,1.734
Rice,Kharif,Tamil Nadu,Sandy Loam,496.27,122.8,27.5,24.9,7.2,23.0,72.2,1308.1,205.3,14.69,1,3.099
Rice,Kharif,Karnataka,Alluvial,496.58,77.1,34.0,35.6,7.38,22.2,76.9,1652.5,52.5,3.63,1,2.438
Wheat,Rabi,Maharashtra,Clay,497.06,128.5,42.0,30.5,6.03,31.7,36.5,868.3,179.0,20.32,0,1.604
Banana,Whole Year,Tamil Nadu,Clay,475.31,310.2,50.4,427.3,6.28,30.9,89.1,1237.4,245.5,15.98,1,48.156
Chickpea,Rabi,Rajasthan,Red,113.0,22.4,34.2,24.5,5.77,24.6,36.5,271.3,100.0,11.65,1,0.469
Potato,Whole Year,Assam,Sandy Loam,479.29,103.7,69.8,67.2,5.04,20.9,67.4,3146.4,72.1,14.14,1,7.091
Rice,Kharif,Karnataka,Clay,445.62,110.7,48.2,52.3,7.33,20.2,78.4,823.9,233.6,12.75,0,1.948
Sugarcane,Rabi,Odisha,Loamy,324.0,204.4,81.5,79.3,6.35,30.7,58.3,1099.2,67.4,19.79,1,80.062
Maize,Zaid,Karnataka,Loamy,433.43,75.5,45.6,23.3,7.38,26.3,45.3,1264.1,104.0,5.45,1,3.322
Chickpea,Rabi,Uttar Pradesh,Black,478.56,31.6,47.8,33.4,6.49,26.3,45.8,492.7,34.1,13.41,0,0.876
Sugarcane,Whole Year,Bihar,Alluvial,490.21,216.5,112.9,121.4,6.78,27.1,75.1,661.0,237.5,9.88,1,47.569
Chickpea,Rabi,Gujarat,Loamy,466.67,26.9,54.0,38.8,7.72,24.4,49.0,997.0,73.8,13.49,0,0.357
Jute,Kharif,Assam,Loamy,150.0,72.7,20.6,42.4,7.35,24.5,66.0,2856.2,257.4,5.58,1,0.661
Barley,Rabi,Uttar Pradesh,Loamy,356.67,65.2,52.5,26.3,7.92,22.7,50.5,703.5,236.2,10.82,0,1.915
Rice,Rabi,Bihar,Laterite,497.0,104.9,58.2,34.4,5.15,25.5,72.6,1113.3,331.0,1.67,1,1.069
Coffee,Whole Year,Jharkhand,Laterite,5.92,129.4,24.2,40.0,6.35,23.8,86.5,1228.3,61.0,19.86,1,1.58
Rice,Kharif,Uttar Pradesh,Clay,495.02,131.8,53.7,37.1,6.78,27.5,92.4,867.0,138.0,21.56,1,2.559
Soybean,Kharif,Madhya Pradesh,Red,499.24,22.0,54.2,21.1,7.28,24.4,51.0,1545.4,159.5,24.57,1,0.823
Maize,Zaid,Odisha,Alluvial,25.0,107.7,61.1,26.4,5.64,28.9,73.0,1010.2,191.4,21.17,1,1.6
Soybean,Kharif,Uttar Pradesh,Black,129.0,45.0,56.5,21.5,7.19,20.0,43.7,1066.9,103.2,9.47,1,0.411
Cotton,Kharif,Tamil Nadu,Red,132.0,78.4,20.8,42.1,8.27,27.8,34.8,717.8,72.9,24.43,0,0.408
Sugarcane,Whole Year,Punjab,Alluvial,333.33,278.1,77.9,102.1,6.71,19.1,68.2,895.4,243.8,5.8,1,68.0
Groundnut,Zaid,Odisha,Loamy,1.0,13.1,37.7,46.9,5.32,26.8,73.0,1580.5,263.9,23.71,1,0.6
Potato,Whole Year,Madhya Pradesh,Loamy,312.0,182.8,85.6,83.6,6.25,26.4,85.7,1394.7,325.0,1.11,0,9.853
Rice,Rabi,West Bengal,Clay,499.38,71.6,36.5,27.5,6.11,27.1,83.0,1269.4,317.9,17.58,1,2.057
Cotton,Whole Year,Karnataka,Black,499.64,56.9,26.8,37.0,7.95,21.0,58.2,1757.1,264.0,18.13,1,0.303
Rice,Kharif,Punjab,Loamy,498.35,107.8,18.6,44.4,6.79,23.4,70.6,618.5,276.1,19.17,1,3.483
Rice,Kharif,Gujarat,Clay,488.24,60.2,18.1,24.6,5.53,25.7,65.0,622.3,250.3,6.29,0,2.301
Rice,Zaid,Assam,Alluvial,499.75,94.5,44.4,69.5,5.78,21.7,67.6,1506.2,139.5,11.03,1,2.217
Wheat,Rabi,Madhya Pradesh,Loamy,496.79,90.7,40.5,47.7,6.67,27.2,40.9,817.4,316.8,1.77,0,1.346
Barley,Rabi,Bihar,Alluvial,34.0,68.3,32.9,23.9,6.7,25.5,40.6,1609.8,145.9,13.0,1,1.529
Rice,Zaid,Gujarat,Loamy,300.0,72.5,29.5,50.8,7.41,23.3,72.1,615.0,200.3,15.37,1,3.0
Wheat,Rabi,Haryana,Alluvial,499.01,104.1,38.4,55.0,7.37,28.2,43.7,587.0,266.7,14.83,1,4.028
Groundnut,Kharif,Andhra Pradesh,Sandy Loam,493.68,13.1,63.3,34.9,7.22,26.5,66.4,682.1,106.6,8.63,0,1.178
Wheat,Rabi,Chhattisgarh,Sandy,127.0,111.5,63.6,30.9,6.85,22.4,42.1,1000.2,224.7,16.01,1,1.992
Jute,Kharif,Bihar,Alluvial,15.0,68.0,32.7,20.1,5.72,27.8,66.7,1115.9,283.8,5.01,1,1.473
Chickpea,Rabi,Madhya Pradesh,Alluvial,498.17,18.3,49.5,26.6,6.8,23.9,52.1,1223.2,246.7,18.83,0,1.11
Rice,Zaid,Maharashtra,Sandy,250.0,85.1,24.8,31.7,5.24,27.0,69.5,1393.9,249.1,14.86,1,3.2
Sugarcane,Whole Year,Bihar,Alluvial,437.8,210.8,60.5,70.6,6.46,27.2,75.9,1377.0,241.2,11.91,1,46.5
Rice,Kharif,Rajasthan,Loamy,353.0,55.6,26.1,49.4,6.63,28.4,65.3,360.5,212.1,14.19,0,1.484
Maize,Rabi,Gujarat,Sandy Loam,450.0,166.2,30.9,22.2,6.8,26.7,80.1,945.3,93.3,3.21,1,2.25
Mustard,Rabi,Haryana,Loamy,490.91,66.0,19.9,17.3,6.71,26.5,48.3,572.1,224.9,2.72,1,1.519
Groundnut,Kharif,Telangana,Red,479.96,13.5,47.4,49.9,5.29,29.1,69.5,1412.5,349.0,13.45,1,1.374
Rice,Rabi,Bihar,Alluvial,496.51,63.2,26.4,36.8,5.06,27.4,71.8,892.3,179.0,6.58,0,3.104
Mustard,Rabi,Andhra Pradesh,Alluvial,380.5,51.9,20.6,13.4,6.01,31.1,65.4,565.7,51.6,11.74,0,2.424
Sugarcane,Kharif,Uttar Pradesh,Laterite,204.0,197.5,51.2,112.1,6.64,26.0,65.7,640.6,33.3,23.84,1,59.593
Banana,Whole Year,Gujarat,Loamy,490.0,324.5,27.6,203.2,7.36,30.9,99.0,904.0,277.5,5.57,1,75.571
Groundnut,Kharif,Odisha,Loamy,149.0,17.9,74.0,58.5,6.98,28.4,62.7,1643.9,120.2,24.04,1,0.936
Mustard,Rabi,Madhya Pradesh,Sandy Loam,447.86,50.6,32.6,31.3,7.21,29.2,66.5,1333.9,184.4,7.93,1,0.968
Groundnut,Kharif,Rajasthan,Sandy Loam,498.4,19.8,27.6,37.7,7.12,24.2,59.9,538.4,292.5,21.76,0,1.606
Rice,Kharif,Madhya Pradesh,Alluvial,498.87,69.4,30.5,31.8,7.15,25.6,80.5,1400.2,100.1,1.99,1,0.648
Rice,Zaid,Gujarat,Sandy Loam,400.0,93.2,28.1,54.8,7.1,26.5,60.9,723.7,343.1,2.03,1,3.25
Maize,Kharif,Rajasthan,Alluvial,495.52,99.0,62.3,32.1,7.48,24.4,47.4,388.4,92.5,24.85,1,1.835
Rice,Kharif,Tamil Nadu,Sandy,495.39,89.2,47.7,50.6,7.31,29.5,60.8,1176.6,136.0,20.92,0,4.216
Chickpea,Rabi,Karnataka,Loamy,475.33,21.4,55.6,26.4,7.55,26.6,62.2,1202.0,79.5,11.44,0,0.402
Wheat,Rabi,Punjab,Loamy,496.06,81.7,35.7,50.1,6.83,24.8,67.1,378.2,163.9,7.03,0,4.508
Mustard,Rabi,Gujarat,Alluvial,100.0,52.8,26.2,36.7,6.18,26.3,69.6,978.3,108.3,6.66,1,2.0
Rice,Zaid,Uttar Pradesh,Clay,35.0,123.5,21.9,30.5,7.2,28.1,80.1,617.9,70.7,14.91,1,2.029
Maize,Zaid,Uttar Pradesh,Loamy,143.0,99.4,29.9,23.9,7.35,30.9,46.0,1011.9,36.2,17.37,1,1.469
Rice,Zaid,Bihar,Loamy,490.15,122.1,72.0,64.7,5.23,29.0,63.6,1437.8,105.8,1.99,1,1.627
Mustard,Rabi,Rajasthan,Loamy,428.17,41.6,24.6,18.3,7.86,26.3,48.1,253.3,123.3,11.72,1,0.732
Potato,Whole Year,Haryana,Loamy,157.0,213.1,118.5,80.4,6.56,21.1,60.5,381.9,94.2,2.97,1,17.197
Wheat,Zaid,Odisha,Black,311.0,160.4,47.3,22.6,7.8,27.9,44.8,996.7,223.0,22.09,1,1.443
Groundnut,Kharif,Tamil Nadu,Loamy,498.32,13.1,36.7,28.7,5.46,35.5,53.5,1050.6,94.6,12.91,0,1.166
Barley,Rabi,Uttar Pradesh,Sandy Loam,477.0,81.7,44.5,32.2,7.85,27.3,36.9,1202.9,139.9,0.63,1,3.309
Groundnut,Kharif,Uttar Pradesh,Red,3.0,29.0,31.9,26.7,6.49,27.7,69.6,608.5,112.4,18.38,0,1.0
Mustard,Rabi,Uttar Pradesh,Alluvial,493.85,73.9,36.8,12.2,7.31,29.7,53.1,1218.4,196.3,7.26,1,0.957
Maize,Zaid,Bihar,Loamy,386.0,167.8,48.7,28.6,7.1,25.7,86.0,775.6,284.5,9.53,1,4.819
Maize,Kharif,Punjab,Loamy,476.19,166.9,37.3,32.5,5.59,26.6,40.5,741.7,160.6,4.7,0,2.5
Sugarcane,Kharif,Uttar Pradesh,Alluvial,67.0,240.2,111.0,114.3,7.47,35.3,81.9,1343.6,57.6,13.27,1,60.299
Maize,Whole Year,Tamil Nadu,Sandy Loam,498.97,159.1,59.4,24.3,6.33,28.3,50.0,1198.8,68.8,12.11,1,4.666
Jute,Kharif,Assam,Loamy,1.0,57.2,26.6,32.7,6.67,24.3,92.8,2904.1,193.2,21.51,0,0.85
Groundnut,Whole Year,Tamil Nadu,Red,494.23,29.0,39.8,35.1,6.95,34.9,48.9,963.1,275.4,12.91,0,1.511
Banana,Whole Year,Chhattisgarh,Loamy,14.0,263.8,49.6,249.1,7.71,29.9,70.7,654.9,139.1,14.97,1,46.071
Potato,Rabi,Uttar Pradesh,Alluvial,420.2,79.2,75.7,145.3,5.16,25.4,83.4,766.2,222.1,18.02,0,22.383
Maize,Kharif,Maharashtra,Alluvial,250.0,162.7,45.9,51.6,6.3,26.5,46.0,664.3,274.7,10.47,1,3.0
Soybean,Kharif,Rajasthan,Loamy,3.0,48.3,90.5,29.3,7.13,27.6,60.2,432.9,323.1,22.83,1,1.333
Maize,Zaid,Uttar Pradesh,Alluvial,1.0,149.3,50.3,40.2,6.74,25.0,59.5,684.3,57.5,22.09,1,2.0
Maize,Rabi,Maharashtra,Sandy Loam,416.67,64.9,41.7,33.1,6.22,29.6,66.5,1036.0,343.9,2.0,1,2.64
Rice,Kharif,Karnataka,Alluvial,498.33,87.4,38.5,36.8,7.12,28.8,64.9,819.3,334.3,21.14,1,2.757
Cotton,Kharif,Karnataka,Black,494.97,95.8,32.8,40.4,6.29,25.5,43.7,707.6,301.9,17.14,0,0.384
Potato,Whole Year,Gujarat,Alluvial,498.75,166.5,77.6,141.5,6.51,31.1,56.4,945.4,298.9,16.38,1,23.634
Cotton,Kharif,Punjab,Red,498.13,79.6,45.3,35.4,8.16,21.5,33.4,871.7,139.0,8.81,1,0.7
Maize,Kharif,Odisha,Loamy,24.0,181.9,45.0,50.6,5.7,26.9,45.6,1502.3,337.1,14.26,1,1.417
Sugarcane,Kharif,Uttar Pradesh,Loamy,477.83,175.8,60.5,95.9,6.99,24.8,78.4,722.2,184.1,4.48,0,46.656
Potato,Rabi,Chhattisgarh,Sandy Loam,1.0,83.2,42.7,132.7,6.82,27.5,65.3,1727.9,114.7,4.48,1,8.0
Chickpea,Rabi,Tamil Nadu,Red,73.0,39.2,31.7,16.8,8.0,28.2,53.5,579.5,125.3,4.74,1,0.301
Chickpea,Rabi,Punjab,Black,200.0,33.3,39.8,23.8,5.62,23.2,31.0,590.0,65.7,3.66,0,1.0
Tomato,Kharif,Chhattisgarh,Sandy,9.63,159.1,43.6,100.7,5.53,28.7,49.2,1895.6,283.0,22.78,1,39.399
Maize,Kharif,Tamil Nadu,Loamy,490.09,83.5,25.2,24.6,7.21,24.7,81.9,1237.6,287.3,11.95,1,5.247
Mustard,Rabi,Rajasthan,Alluvial,499.65,49.4,38.3,23.6,7.56,25.0,61.3,218.2,133.9,24.9,1,1.469
Soybean,Kharif,Uttar Pradesh,Loamy,293.0,53.1,70.0,44.2,6.62,26.7,43.7,550.3,319.4,3.85,1,1.229
Rice,Kharif,Kerala,Alluvial,425.0,89.3,36.4,30.1,6.33,27.5,63.3,2198.7,196.5,21.38,1,2.462
Banana,Whole Year,Madhya Pradesh,Clay,1.0,245.9,55.1,473.8,6.93,24.3,62.0,1452.9,307.5,21.06,0,45.0
Mustard,Rabi,Uttar Pradesh,Loamy,392.0,49.4,37.8,27.2,5.84,26.6,69.1,922.5,318.4,10.27,0,1.031
Chickpea,Rabi,Rajasthan,Sandy Loam,497.37,26.1,38.5,38.1,7.47,32.0,30.7,416.4,92.3,8.67,1,1.453
Rice,Kharif,Uttar Pradesh,Clay,499.52,87.9,43.1,36.3,5.81,24.4,87.6,957.2,77.2,17.38,0,2.051
Maize,Zaid,Karnataka,Loamy,488.0,77.1,59.4,50.7,6.53,27.4,74.4,911.0,253.1,11.97,1,4.961
Barley,Rabi,Uttar Pradesh,Sandy Loam,314.0,47.3,60.9,25.8,8.0,27.1,61.5,1213.4,218.7,12.52,1,2.624
Mustard,Rabi,Rajasthan,Sandy Loam,498.47,73.6,18.4,22.1,7.1,31.4,59.1,335.7,231.5,10.02,1,0.782
Groundnut,Rabi,Odisha,Loamy,1.0,26.2,38.2,31.4,6.57,31.0,40.1,2092.8,236.1,14.65,0,0.7
Rice,Zaid,Bihar,Loamy,19.0,93.0,52.3,53.0,5.03,30.8,69.5,710.5,313.4,10.63,0,1.158
Chickpea,Rabi,Uttar Pradesh,Black,9.0,15.6,51.3,15.1,7.93,25.2,58.9,1136.2,280.1,5.99,0,1.111
Mustard,Kharif,Karnataka,Sandy Loam,37.0,90.2,31.4,23.1,6.09,26.5,30.4,1625.5,257.0,19.49,0,0.351
Maize,Rabi,Karnataka,Alluvial,498.66,95.7,31.8,54.1,5.73,27.4,57.9,888.8,161.8,6.7,1,3.51
Potato,Whole Year,Madhya Pradesh,Loamy,331.0,126.0,76.8,100.3,5.68,27.5,81.0,1338.1,86.9,19.98,0,7.338
Mustard,Rabi,Uttar Pradesh,Loamy,486.25,98.5,17.6,18.6,5.99,24.4,45.1,1203.8,141.2,5.53,1,0.819
Maize,Kharif,Madhya Pradesh,Red,496.82,150.7,29.4,44.9,5.64,24.9,69.2,802.4,249.2,2.31,0,2.086
Soybean,Kharif,Rajasthan,Alluvial,5.0,45.5,45.6,36.5,6.34,27.5,46.8,342.6,253.1,21.2,0,1.4
Chickpea,Rabi,Rajasthan,Red,487.03,28.5,39.1,25.9,6.73,26.7,26.8,298.6,234.8,14.76,1,1.168
Groundnut,Zaid,Gujarat,Loamy,333.33,11.8,29.2,29.8,5.22,26.3,44.0,1148.5,81.6,7.72,0,1.8
Soybean,Kharif,Madhya Pradesh,Red,495.37,60.9,51.7,24.7,7.26,22.6,81.9,1235.7,294.0,1.22,1,0.715
Rice,Kharif,Madhya Pradesh,Clay,304.5,69.3,64.1,30.9,6.45,30.9,97.2,745.2,294.7,4.11,1,0.811
Wheat,Rabi,Maharashtra,Loamy,497.03,126.3,52.0,31.6,7.44,23.6,40.9,851.3,182.2,2.66,1,1.112
Maize,Zaid,Bihar,Loamy,499.0,180.9,37.1,30.5,7.23,22.6,67.8,1489.3,324.5,0.51,0,4.94
Potato,Rabi,Jharkhand,Loamy,329.0,84.6,63.1,130.6,6.1,22.9,58.8,1332.8,97.8,5.72,1,6.52
Mustard,Rabi,West Bengal,Alluvial,495.0,59.1,27.0,23.4,6.08,27.9,58.4,2181.2,169.3,23.43,1,1.107
Potato,Rabi,Uttar Pradesh,Sandy Loam,475.5,126.1,85.5,152.1,5.47,26.3,84.9,684.2,235.5,16.93,0,22.835
Maize,Kharif,Gujarat,Loamy,498.26,166.8,44.7,32.3,7.44,28.5,87.1,952.9,53.5,10.7,0,1.379
Tea,Kharif,Uttar Pradesh,Loamy,20.72,208.2,44.7,47.8,4.96,24.6,87.4,1192.4,71.9,12.62,1,2.927
Mustard,Rabi,Gujarat,Alluvial,5.0,91.9,19.6,12.0,7.52,22.5,49.0,1099.7,76.3,0.65,0,1.8
Sugarcane,Rabi,Odisha,Loamy,337.5,306.8,72.7,93.3,5.54,26.6,88.1,1031.3,182.4,11.72,1,54.927
Groundnut,Rabi,Andhra Pradesh,Sandy,488.67,17.0,35.1,25.6,7.01,27.2,53.6,848.0,67.7,11.06,1,1.31
Groundnut,Kharif,Haryana,Loamy,190.0,11.9,46.0,31.2,5.23,35.3,40.1,804.4,151.3,11.82,1,1.053
Sugarcane,Whole Year,Andhra Pradesh,Sandy,498.2,167.0,55.2,102.4,6.82,32.0,97.2,1102.7,200.6,11.61,0,101.42
Mustard,Rabi,Madhya Pradesh,Alluvial,11.0,42.2,46.2,24.4,7.72,25.2,35.8,891.6,299.0,24.76,1,0.909
Jute,Kharif,West Bengal,Clay,496.67,56.2,34.3,18.9,6.18,29.3,76.4,1999.0,280.9,14.5,1,2.102
Banana,Whole Year,Assam,Alluvial,432.67,184.2,42.8,237.0,7.48,25.4,60.6,2062.2,82.8,2.83,1,15.449
Groundnut,Kharif,Rajasthan,Sandy,498.0,16.6,40.0,26.8,6.37,25.3,48.4,236.3,178.7,11.06,0,1.926
Groundnut,Whole Year,Tamil Nadu,Loamy,498.32,19.2,52.4,54.8,5.47,21.8,59.3,1356.7,74.4,7.67,1,1.665
Maize,Kharif,Odisha,Alluvial,338.0,157.2,48.1,24.7,6.49,22.1,77.2,1324.5,323.3,5.73,0,1.569
Maize,Rabi,Tamil Nadu,Laterite,397.0,104.3,56.2,63.5,5.66,32.3,66.2,733.2,98.3,24.75,1,5.003
Wheat,Rabi,Chhattisgarh,Clay,5.0,128.4,64.3,15.8,7.53,28.7,61.1,1086.1,114.7,23.36,0,2.0
Cotton,Kharif,Madhya Pradesh,Loamy,493.59,62.7,29.4,22.2,8.09,30.3,75.3,1183.4,305.4,10.66,1,0.505
Sugarcane,Whole Year,Gujarat,Loamy,475.0,218.5,73.7,64.5,7.25,29.3,65.4,1082.2,324.1,17.3,0,70.0
Wheat,Rabi,Bihar,Loamy,469.75,180.2,29.7,48.2,6.05,24.7,57.1,1055.8,244.3,18.61,1,2.726
Chickpea,Rabi,Maharashtra,Red,497.74,16.6,44.1,36.8,6.5,25.0,39.0,697.7,288.4,1.15,0,0.36
Chickpea,Rabi,Bihar,Red,467.67,39.4,56.1,35.3,7.32,26.0,42.8,561.8,213.2,10.04,1,0.923
Groundnut,Zaid,Maharashtra,Loamy,200.0,33.2,45.9,40.0,7.1,28.5,76.1,1499.8,37.1,2.94,1,1.0
Banana,Zaid,Uttar Pradesh,Clay,22.0,289.9,57.9,322.1,6.27,24.7,68.5,1205.7,168.2,22.38,1,41.136
Jute,Kharif,Bihar,Red,466.55,32.3,36.1,13.3,6.49,29.9,78.4,988.0,65.4,10.54,1,1.335
Maize,Kharif,Madhya Pradesh,Alluvial,483.63,72.3,46.6,32.0,5.77,23.1,79.6,1442.4,219.1,12.95,1,0.931
Groundnut,Kharif,Maharashtra,Red,475.0,21.6,40.0,29.5,5.31,26.5,61.3,1252.6,302.1,5.06,0,0.816
Maize,Kharif,Andhra Pradesh,Loamy,260.0,95.8,67.3,34.3,6.97,32.1,70.0,846.5,113.4,17.76,1,5.615
Groundnut,Kharif,Maharashtra,Loamy,400.0,24.8,43.9,34.5,5.82,27.6,54.0,1795.3,166.3,9.71,1,1.55
Maize,Zaid,Odisha,Alluvial,9.0,100.1,38.3,46.4,5.69,28.4,75.2,2075.7,250.9,17.99,1,1.8
Mustard,Rabi,Assam,Sandy Loam,495.3,53.3,53.9,18.4,6.93,26.5,63.9,1762.1,75.0,22.06,1,0.519
Jute,Kharif,West Bengal,Sandy Loam,496.8,40.6,28.1,32.7,5.78,28.0,79.3,1977.5,149.3,11.02,1,3.469
Wheat,Rabi,Punjab,Laterite,499.33,128.7,24.8,53.6,7.62,24.1,63.7,393.0,284.3,12.99,0,4.429
Mustard,Rabi,Assam,Sandy Loam,498.68,56.8,24.5,12.4,6.55,24.2,61.6,2609.1,96.8,17.12,1,0.685
Rice,Kharif,Gujarat,Alluvial,499.37,72.2,38.2,52.4,6.51,32.5,97.9,684.7,110.0,15.6,1,2.231
Cotton,Kharif,Gujarat,Black,482.76,54.3,59.7,43.7,5.59,28.5,45.6,566.9,92.6,1.79,1,0.543
Mustard,Whole Year,Madhya Pradesh,Sandy Loam,62.0,42.5,38.5,22.3,7.43,23.9,65.2,1595.7,183.0,12.53,1,0.742
Rice,Rabi,Bihar,Black,498.26,70.1,26.9,25.0,5.21,24.0,97.1,1187.7,243.5,22.83,0,0.694
Mustard,Rabi,Uttar Pradesh,Sandy Loam,494.47,67.0,25.4,22.0,5.66,24.4,64.5,892.7,107.1,23.98,0,1.345
Maize,Kharif,Karnataka,Laterite,498.09,66.2,47.2,25.0,7.45,30.9,76.8,1474.2,256.4,2.66,1,3.48
Cotton,Kharif,Gujarat,Black,498.87,53.3,22.7,32.1,8.17,30.1,73.6,616.8,195.9,20.59,1,1.027
Mustard,Rabi,Haryana,Sandy Loam,498.95,56.1,45.7,32.3,6.01,29.0,47.5,529.1,182.6,21.42,1,1.216
